id,date,count
132,2020-04-18,3
133,2020-04-20,3
134,2020-04-23,3
135,2020-05-12,3
136,2020-05-24,3
137,2020-05-25,3
138,2020-06-02,3
139,2020-06-03,3
140,2020-06-04,3
141,2020-06-12,3
142,2020-06-17,3
143,2020-06-20,3
144,2020-06-23,3
145,2020-06-28,3
146,2020-06-29,3
147,2020-07-01,3
148,2020-07-05,3
149,2020-07-08,3
150,2020-07-10,3
151,2020-07-18,3
152,2020-07-21,3
153,2020-07-27,3
154,2020-08-13,3
155,2020-08-20,3
156,2020-08-28,3
157,2020-08-30,3
158,2020-09-06,3
159,2020-09-07,3
160,2020-09-09,3
161,2020-09-12,3
162,2020-09-20,3
163,2020-09-23,3
164,2020-09-24,3
165,2020-09-27,3
166,2020-09-28,3
167,2020-10-01,3
168,2020-10-02,3
169,2020-10-05,3
170,2020-10-10,3
171,2020-10-23,3
172,2020-10-26,3
173,2020-11-04,3
174,2020-11-09,3
175,2020-11-13,3
176,2020-11-20,3
177,2020-11-21,3
178,2020-11-24,3
179,2020-11-29,3
180,2020-12-02,3
181,2020-12-08,3
182,2020-12-11,3
183,2020-12-12,3
184,2020-12-20,3
185,2020-12-23,3
186,2020-01-02,2
187,2020-01-08,2
188,2020-01-10,2
189,2020-01-26,2
190,2020-01-28,2
191,2020-01-29,2
192,2020-01-30,2
193,2020-02-01,2
194,2020-02-02,2
195,2020-02-05,2
196,2020-02-07,2
197,2020-02-11,2
198,2020-02-12,2
199,2020-02-15,2
200,2020-02-16,2
201,2020-02-18,2
202,2020-02-23,2
203,2020-03-02,2
204,2020-03-03,2
205,2020-03-09,2
206,2020-03-20,2
207,2020-03-21,2
208,2020-03-28,2
209,2020-04-06,2
210,2020-04-15,2
211,2020-04-16,2
212,2020-04-19,2
213,2020-04-21,2
214,2020-04-25,2
215,2020-04-26,2
216,2020-05-01,2
217,2020-05-05,2
218,2020-05-06,2
219,2020-05-08,2
220,2020-05-09,2
221,2020-05-14,2
222,2020-05-17,2
223,2020-05-26,2
224,2020-05-31,2
225,2020-06-07,2
226,2020-06-10,2
227,2020-06-14,2
228,2020-06-15,2
229,2020-06-21,2
230,2020-06-25,2
231,2020-06-27,2
232,2020-07-02,2
233,2020-07-11,2
234,2020-07-13,2
235,2020-07-19,2
236,2020-07-29,2
237,2020-08-02,2
238,2020-08-06,2
239,2020-08-08,2
240,2020-08-11,2
241,2020-08-12,2
242,2020-08-14,2
243,2020-08-18,2
244,2020-08-27,2
245,2020-08-29,2
246,2020-08-31,2
247,2020-09-01,2
248,2020-09-03,2
249,2020-09-08,2
250,2020-09-21,2
251,2020-10-03,2
252,2020-10-04,2
253,2020-10-12,2
254,2020-10-17,2
255,2020-10-19,2
256,2020-10-21,2
257,2020-10-24,2
258,2020-10-28,2
259,2020-10-30,2
260,2020-11-08,2
261,2020-11-10,2
262,2020-11-17,2
263,2020-11-19,2
264,2020-11-25,2
265,2020-11-26,2
266,2020-12-05,2
267,2020-12-14,2
268,2020-12-18,2
269,2020-12-21,2
270,2020-12-27,2
271,2020-12-28,2
272,2020-12-29,2
273,2020-12-30,2
274,2020-01-07,1
275,2020-01-15,1
276,2020-01-16,1
277,2020-01-21,1
278,2020-01-23,1
279,2020-01-24,1
280,2020-02-17,1
281,2020-02-19,1
282,2020-02-20,1
283,2020-03-07,1
284,2020-03-08,1
285,2020-03-12,1
286,2020-03-15,1
287,2020-03-16,1
288,2020-03-19,1
289,2020-03-23,1
290,2020-03-29,1
291,2020-04-04,1
292,2020-04-08,1
293,2020-04-13,1
294,2020-04-24,1
295,2020-04-28,1
296,2020-05-11,1
297,2020-05-13,1
298,2020-05-19,1
299,2020-05-20,1
300,2020-05-21,1
301,2020-05-22,1
302,2020-06-08,1
303,2020-06-13,1
304,2020-06-16,1
305,2020-06-18,1
306,2020-06-19,1
307,2020-06-22,1
308,2020-06-24,1
309,2020-06-30,1
310,2020-07-03,1
311,2020-07-04,1
312,2020-07-09,1
313,2020-07-12,1
314,2020-07-15,1
315,2020-07-20,1
316,2020-07-24,1
317,2020-07-30,1
318,2020-08-05,1
319,2020-08-07,1
320,2020-08-09,1
321,2020-08-19,1
322,2020-08-21,1
323,2020-08-22,1
324,2020-08-25,1
325,2020-09-05,1
326,2020-09-13,1
327,2020-09-16,1
328,2020-09-17,1
329,2020-09-22,1
330,2020-09-30,1
331,2020-10-06,1
332,2020-10-08,1
333,2020-10-09,1
334,2020-10-11,1
335,2020-10-16,1
336,2020-10-18,1
337,2020-10-22,1
338,2020-11-02,1
339,2020-11-03,1
340,2020-11-05,1
341,2020-11-18,1
342,2020-12-10,1
343,2020-12-19,1
344,2020-12-22,1
